종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"279540","KODEX 최소변동성","12350","-5","-0.04","12341.05","12325","12355","12295","452","5568735","12350000000","0","1000000","KRX 최소변동성지수","7234.28","-19.95","-0.28"
"229200","KODEX 코스닥 150","15070","-25","-0.17","15350.50","15120","15165","14910","6366147","96170255960","415178500000","0","27550000","코스닥 150","1524.21","3.65","0.24"
"233740","KODEX 코스닥150 레버리지","16525","15","0.09","16779.68","16560","16635","16110","8834125","145197849425","789895000000","0","47800000","코스닥 150","1524.21","3.65","0.24"
"360150","KODEX 코스닥150롱코스피200숏선물","9260","75","0.82","9220.56","9120","9260","9110","635","5868145","13890000000","0","1500000","코스닥150 롱 100% 코스피200 숏 100% 선물지수","1041.95","7.85","0.76"
"251340","KODEX 코스닥150선물인버스","4015","-10","-0.25","4033.46","4020","4080","4010","23080898","93191272060","401500000000","0","100000000","F-코스닥150 지수","1719.57","3.43","0.20"
"226490","KODEX 코스피","30325","-220","-0.72","30388.43","30555","30590","30295","164433","4995475080","424550000000","0","14000000","코스피","2977.63","-15.66","-0.52"
"237350","KODEX 코스피100","30745","-105","-0.34","30707.54","30855","30940","30695","1525","46898385","16909750000","0","550000","코스피 100","2979.12","-17.31","-0.58"
"359210","KODEX 코스피TR","14005","-60","-0.43","14000.43","14125","14125","13965","2510","35108300","33612000000","0","2400000","코스피 TR","3582.29","-18.84","-0.52"
"337140","KODEX 코스피대형주","14135","-55","-0.39","14135.57","14195","14240","14095","19890","280942460","32510500000","0","2300000","코스피 대형주","2907.22","-16.25","-0.56"
"138920","KODEX 콩선물(H)","11735","-10","-0.09","11833.18","11750","11845","11735","1846","21743085","7041000000","0","600000","S&P GSCI Soybeans Index(TR)","5183.31","-117.13","-2.21"
"244660","KODEX 퀄리티Plus","10555","-55","-0.52","10586.96","10605","10605","10550","861","9108360","7388500000","0","700000","FnGuide 퀄리티 Plus 지수","2534.15","-12.60","-0.49"
"375770","KODEX 탄소효율그린뉴딜","9810","-45","-0.46","9810.31","9855","9855","9775","5015","49258445","38259000000","0","3900000","KRX/S&P 탄소효율 그린뉴딜지수","1647.13","-8.53","-0.52"
"266410","KODEX 필수소비재","8330","-105","-1.24","8328.59","8410","8410","8290","16055","134095510","11662000000","0","1400000","KRX 필수소비재","1472.90","-19.76","-1.32"
"298770","KODEX 한국대만IT프리미어","21150","50","0.24","21272.86","21110","21180","21050","59990","1268276780","105750000000","0","5000000","한국 대만 IT 프리미어지수","3130.53","-0.59","-0.02"
